L0,L1,L2,L3,L4,L5,value
2101,3982,10501,,,,71011.3263990708
2101,3982,10502,,,,49482.6620315251
2101,3982,10511,,,,46571.3322779976
2101,3982,11277,,,,24538.885642693
2101,3982,11281,,,,26550.905944214
2101,3982,11282,,,,9079.49212526323
2101,3982,12842,,,,8703.34904883229
2101,3982,33850,,,,30732.8894498633
2101,3982,0,,,,88080.5033261022
2101,3997,4015,,,,614728.884937995
2101,3997,4020,,,,29242.7324938799
2101,3997,4021,,,,27859.870104931
2101,3997,4022,,,,193001.39393796
2101,3997,0,,,,1035.70835563517
2101,3998,4015,,,,32343.8677592016
2101,3998,4022,,,,12757.7731907583
2101,3998,0,,,,3037.67667770828
2101,3999,0,,,,8620.12547402064
2101,4000,0,,,,10230.5283655842
2101,4001,4017,,,,1743515.49906316
2101,4001,4020,,,,82939.2575935001
2101,4001,4021,,,,79017.1350655387
2101,4001,0,,,,6268.21603700557
2101,4002,4013,,,,233749.909196929
2101,4002,4018,,,,148449.885830702
2101,4002,0,,,,14157.1942328083
2101,4003,4019,,,,65920.4737513202
2101,4003,0,,,,6191.12986698687
2101,4004,4019,,,,39718.989748913
2101,4004,0,,,,3730.33459451004
2101,4005,4019,,,,15559.1798246155
2101,4005,0,,,,1461.28960300543
2101,4008,4019,,,,23933.9979109281
2101,4008,0,,,,2247.83708340583
2101,4011,34791,,,,216174.405008416
2101,4011,0,,,,8330.51421995383
2101,4372,0,,,,15080.7063768945
2101,5789,34805,,,,11164.6233741433
2101,5789,0,,,,11377.7179702531
2101,5802,5817,,,,13531.1137537085
2101,5802,5818,,,,12045.7674829239
2101,5802,5822,,,,42266.4095190384
2101,5802,5831,,,,29061.2454664476
2101,5802,0,,,,6622.08962443701
2101,6322,6341,,,,12475.5361154175
2101,6322,0,,,,15277.9049929499
2101,6452,6471,,,,10470.3772727598
2101,6452,0,,,,21870.4798458536
2101,7219,34816,,,,28316.4775586431
2101,7219,0,,,,24147.9752245977
2101,7232,5171,,,,15390.6683173339
2101,7232,7247,,,,12023.9690985271
2101,7232,7251,,,,78963.9678213603
2101,7232,7252,,,,16894.0675879482
2101,7232,7261,,,,14036.9470376769
2101,7232,16741,,,,8842.66969355308
2101,7232,0,,,,71157.6220750558
2101,7752,0,,,,17035.9244747881
2101,9429,0,,,,14456.4863994834
2101,9442,9457,,,,9262.74576402311
2101,9442,9462,,,,40543.9628778752
2101,9442,9471,,,,11264.5558458007
2101,9442,0,,,,5645.56686342583
2101,9832,0,,,,12692.0458075833
2101,9949,34837,,,,32143.2697422934
2101,9949,0,,,,9591.32688815355
2101,9962,9977,,,,30765.0802876191
2101,9962,9981,,,,71849.4232925574
2101,9962,9982,,,,34160.1767062368
2101,9962,9991,,,,17582.9244033308
2101,9962,0,,,,30244.5089974659
2101,9981,0,,,,9260.00518823563
2101,10469,34841,,,,73828.8676333404
2101,10469,0,,,,2456.59073541648
2101,10482,10497,,,,52785.6857854031
2101,10482,10501,,,,100655.677418252
2101,10482,10502,,,,70139.6681319664
2101,10482,10511,,,,66012.976188735
2101,10482,0,,,,1087.88511890943
2101,11249,34847,,,,39672.7547083544
2101,11249,0,,,,4388.19685483198
2101,11262,11277,,,,49041.1985843941
2101,11262,11281,,,,53062.2404768202
2101,11262,11282,,,,18145.4521955061
2101,11262,11290,,,,11562.5904190943
2101,11262,11291,,,,13480.9895154086
2101,11262,0,,,,31996.258814009
2101,12809,0,,,,16266.4459751313
2101,12822,12841,,,,12443.1335495009
2101,12822,12842,,,,46544.0713202478
2101,12822,0,,,,5265.203915454
2101,13589,34865,,,,24723.5650416344
2101,13589,0,,,,857.79524146918
2101,13602,13617,,,,21229.0518411514
2101,13602,13621,,,,28440.0168162921
2101,13602,13622,,,,35944.1564513085
2101,13602,13623,,,,14378.5951397859
2101,13602,13631,,,,14094.5197652807
2101,13602,0,,,,5932.10647571186
2101,13617,0,,,,9855.05542938173
2101,13621,13637,,,,11847.2497998527
2101,13621,0,,,,1355.31545055588
2101,13622,0,,,,16686.1740618748
2101,14499,34764,,,,15369.8426691483
2101,14499,34816,,,,13157.2557710421
2101,14499,34872,,,,8966.05035252094
2101,14499,34912,,,,15331.8501363525
2101,14499,34932,,,,26773.7745103194
2101,14499,0,,,,84793.87710437
2101,14512,1141,,,,11883.7056031108
2101,14512,5171,,,,11288.5044906025
2101,14512,6471,,,,11211.739859115
2101,14512,7247,,,,13283.1544079926
2101,14512,7251,,,,87233.3061274566
2101,14512,7252,,,,18663.2638948872
2101,14512,7261,,,,15506.9373008549
2101,14512,14527,,,,9274.73625910958
2101,14512,14531,,,,57171.2549378158
